title,cover,summary,language,categories,editor,publicationYear,pagesNumber,amazonLink,kindleLink,audibleLink,fnacLink,ISBN,rating,authors
Where the Sidewalk Ends,https://images.gr-assets.com/books/1168052448m/30119.jpg,,eng,,,1974.0,,,,,,60513039,4.29,Shel Silverstein
"City of Bones (The Mortal Instruments, #1)",https://images.gr-assets.com/books/1432730315m/256683.jpg,,eng,,,2007.0,,,,,,1416914285,4.12,Cassandra Clare
"Eclipse (Twilight, #3)",https://images.gr-assets.com/books/1361038355m/428263.jpg,,en-US,,,2007.0,,,,,,316160202,3.69,Stephenie Meyer
"Eragon (The Inheritance Cycle, #1)",https://images.gr-assets.com/books/1366212852m/113436.jpg,,en-US,,,2002.0,,,,,,375826696,3.86,Christopher Paolini
"The Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy, #1)",https://images.gr-assets.com/books/1327656754m/11.jpg,,en-US,,,1979.0,,,,,,345391802,4.2,Douglas Adams
Brave New World,https://images.gr-assets.com/books/1487389574m/5129.jpg,,eng,,,1932.0,,,,,,60929871,3.97,Aldous Huxley
"Breaking Dawn (Twilight, #4)",https://images.gr-assets.com/books/1361039438m/1162543.jpg,,en-US,,,2008.0,,,,,,031606792X,3.7,Stephenie Meyer
The Secret Life of Bees,https://images.gr-assets.com/books/1473454532m/37435.jpg,,en-US,,,2001.0,,,,,,142001740,4.01,Sue Monk Kidd
The Adventures of Huckleberry Finn,https://images.gr-assets.com/books/1405973850m/2956.jpg,,eng,,,1884.0,,,,,,142437174,3.8,"Mark Twain, John Seelye, Guy Cardwell"
Charlotte's Web,https://images.gr-assets.com/books/1439632243m/24178.jpg,,eng,,,1952.0,,,,,,64410935,4.15,"E.B. White, Garth Williams, Rosemary Wells"
The Curious Incident of the Dog in the Night-Time,https://images.gr-assets.com/books/1479863624m/1618.jpg,,eng,,,2003.0,,,,,,1400032717,3.85,Mark Haddon
The Girl on the Train,https://images.gr-assets.com/books/1490903702m/22557272.jpg,,eng,,,2015.0,,,,,,1594633665,3.88,Paula Hawkins
"The Golden Compass (His Dark Materials, #1)",https://images.gr-assets.com/books/1451271747m/119322.jpg,,eng,,,1995.0,,,,,,679879242,3.94,Philip Pullman
Wuthering Heights,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,,eng,,,1847.0,,,,,,393978893,3.82,"Emily Brontë, Richard J. Dunn"
My Sister's Keeper,https://images.gr-assets.com/books/1369504683m/10917.jpg,,eng,,,2004.0,,,,,,743454537,4.06,Jodi Picoult
Slaughterhouse-Five,https://images.gr-assets.com/books/1440319389m/4981.jpg,,eng,,,1969.0,,,,,,385333846,4.06,Kurt Vonnegut Jr.
Gone with the Wind,https://images.gr-assets.com/books/1328025229m/18405.jpg,,eng,,,1936.0,,,,,,446675539,4.28,Margaret Mitchell
A Thousand Splendid Suns,https://images.gr-assets.com/books/1345958969m/128029.jpg,,eng,,,2007.0,,,,,,1594489505,4.34,Khaled Hosseini
The Perks of Being a Wallflower,https://images.gr-assets.com/books/1167352178m/22628.jpg,,eng,,,1999.0,,,,,,671027344,4.21,Stephen Chbosky
"Insurgent (Divergent, #2)",https://images.gr-assets.com/books/1325667729m/11735983.jpg,,eng,,,2012.0,,,,,,7442912,4.07,Veronica Roth
"Ender's Game (Ender's Saga, #1)",https://images.gr-assets.com/books/1408303130m/375802.jpg,,eng,,,1985.0,,,,,,812550706,4.3,Orson Scott Card
Frankenstein,https://images.gr-assets.com/books/1381512375m/18490.jpg,,eng,,,1818.0,,,,,,141439475,3.75,"Mary Wollstonecraft Shelley, Percy Bysshe Shelley, Maurice Hindle"
The Shining (The Shining #1),https://images.gr-assets.com/books/1353277730m/11588.jpg,,eng,,,1977.0,,,,,,450040186,4.17,Stephen King
"The Host (The Host, #1)",https://images.gr-assets.com/books/1318009171m/1656001.jpg,,en-US,,,2008.0,,,,,,316068047,3.84,Stephenie Meyer
Looking for Alaska,https://images.gr-assets.com/books/1394798630m/99561.jpg,,eng,,,2005.0,,,,,,142402516,4.09,John Green
"Bridget Jones's Diary (Bridget Jones, #1)",https://images.gr-assets.com/books/1292060045m/227443.jpg,,eng,,,1996.0,,,,,,014028009X,3.75,Helen Fielding
Sense and Sensibility,https://images.gr-assets.com/books/1397245675m/14935.jpg,,eng,,,1811.0,,,,,,141439661,4.06,"Jane Austen, Tony Tanner, Ros Ballaster"
"Holes (Holes, #1)",https://images.gr-assets.com/books/1327781893m/38709.jpg,,eng,,,1998.0,,,,,,439244196,3.93,"Louis Sachar, Louis Sachar"
"The Devil Wears Prada (The Devil Wears Prada, #1)",https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,,eng,,,2003.0,,,,,,307275558,3.7,Lauren Weisberger
The Odyssey,https://images.gr-assets.com/books/1390173285m/1381.jpg,,eng,,,-720.0,,,,,,143039954,3.73,"Homer, Robert Fagles, E.V. Rieu, Frédéric Mugler, Bernard Knox"
The Little Prince,https://images.gr-assets.com/books/1367545443m/157993.jpg,,eng,,,1946.0,,,,,,156012197,4.28,"Antoine de Saint-Exupéry, Richard Howard, Dom Marcos Barbosa, Melina Karakosta"
The Glass Castle,https://images.gr-assets.com/books/1400930557m/7445.jpg,,eng,,,2005.0,,,,,,074324754X,4.24,Jeannette Walls
Into the Wild,https://images.gr-assets.com/books/1403173986m/1845.jpg,,eng,,,1996.0,,,,,,385486804,3.94,Jon Krakauer
A Tale of Two Cities,https://images.gr-assets.com/books/1344922523m/1953.jpg,,eng,,,1859.0,,,,,,141439602,3.81,"Charles Dickens, Richard Maxwell, Hablot Knight Browne"
"Jurassic Park (Jurassic Park, #1)",https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,,spa,,,1990.0,,,,,,030734813X,3.96,Michael Crichton
The Giving Tree,https://images.gr-assets.com/books/1174210942m/370493.jpg,,eng,,,1964.0,,,,,,60256656,4.38,Shel Silverstein
A Time to Kill,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,,eng,,,1989.0,,,,,,385338600,4.03,John Grisham
Night (The Night Trilogy #1),https://images.gr-assets.com/books/1473495285m/1617.jpg,,eng,,,1958.0,,,,,,374500010,4.3,"Elie Wiesel, Marion Wiesel"
Paper Towns,https://images.gr-assets.com/books/1349013610m/6442769.jpg,,en-US,,,2008.0,,,,,,014241493X,3.88,John Green
The Princess Bride ,https://images.gr-assets.com/books/1327903636m/21787.jpg,,en-US,,,1973.0,,,,,,345418263,4.25,William Goldman
The Outsiders,https://images.gr-assets.com/books/1442129426m/231804.jpg,,en-US,,,1967.0,,,,,,014038572X,4.06,S.E. Hinton
"The Maze Runner (Maze Runner, #1)",https://images.gr-assets.com/books/1375596592m/6186357.jpg,,eng,,,2009.0,,,,,,385737947,4.02,James Dashner
"Freakonomics: A Rogue Economist Explores the Hidden Side of Everything (Freakonomics, #1)",https://images.gr-assets.com/books/1327909092m/1202.jpg,,en-US,,,2005.0,,,,,,61234001,3.93,"Steven D. Levitt, Stephen J. Dubner"
The Secret Garden,https://images.gr-assets.com/books/1327873635m/2998.jpg,,eng,,,1911.0,,,,,,517189607,4.12,Frances Hodgson Burnett
One Hundred Years of Solitude,https://images.gr-assets.com/books/1327881361m/320.jpg,,eng,,,1967.0,,,,,,60531045,4.04,"Gabriel García Márquez, Gregory Rabassa"
The Picture of Dorian Gray,https://images.gr-assets.com/books/1424596966m/5297.jpg,,eng,,,1891.0,,,,,,375751513,4.06,"Oscar Wilde, Jeffrey Eugenides"
"Fifty Shades Freed (Fifty Shades, #3)",https://images.gr-assets.com/books/1336418837m/13536860.jpg,,eng,,,2012.0,,,,,,345803507,3.88,E.L. James
Dracula,https://images.gr-assets.com/books/1387151694m/17245.jpg,,eng,,,1897.0,,,,,,393970124,3.98,"Bram Stoker, Nina Auerbach, David J. Skal"
"The Girl Who Played with Fire (Millennium, #2)",https://images.gr-assets.com/books/1351778881m/5060378.jpg,,eng,,,2006.0,,,,,,307269981,4.22,"Stieg Larsson, Reg Keeland"
"Fifty Shades Darker (Fifty Shades, #2)",https://images.gr-assets.com/books/1358266080m/11857408.jpg,,eng,,,2011.0,,,,,,1612130585,3.87,E.L. James
The Poisonwood Bible,https://images.gr-assets.com/books/1412242487m/7244.jpg,,eng,,,1998.0,,,,,,60786507,4.02,Barbara Kingsolver
Me Talk Pretty One Day,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,,eng,,,2000.0,,,,,,349113912,3.97,David Sedaris
Where the Wild Things Are,https://images.gr-assets.com/books/1384434560m/19543.jpg,,eng,,,1963.0,,,,,,99408392,4.22,Maurice Sendak
The Count of Monte Cristo,https://images.gr-assets.com/books/1309203605m/7126.jpg,,eng,,,1844.0,,,,,,140449264,4.21,"Alexandre Dumas, Robin Buss"
The Road,https://images.gr-assets.com/books/1439197219m/6288.jpg,,eng,,,2006.0,,,,,,307265439,3.95,Cormac McCarthy
"Allegiant (Divergent, #3)",https://images.gr-assets.com/books/1395582745m/18710190.jpg,,eng,,,2013.0,,,,,,7524277,3.63,Veronica Roth
Bossypants,https://images.gr-assets.com/books/1481509554m/9418327.jpg,,eng,,,2011.0,,,,,,,3.94,Tina Fey
A Walk to Remember,https://images.gr-assets.com/books/1385738968m/3473.jpg,,en-US,,,1999.0,,,,,,446693804,4.15,Nicholas Sparks
"Confessions of a Shopaholic (Shopaholic, #1)",https://images.gr-assets.com/books/1327872404m/9416.jpg,,eng,,,2000.0,,,,,,440241413,3.61,Sophie Kinsella
Les Misérables,https://images.gr-assets.com/books/1411852091m/24280.jpg,,eng,,,1862.0,,,,,,451525264,4.14,"Victor Hugo, Lee Fahnestock, Norman MacAfee"
"A Clash of Kings  (A Song of Ice and Fire, #2)",https://images.gr-assets.com/books/1358254974m/10572.jpg,,eng,,,1998.0,,,,,,553381695,4.4,George R.R. Martin
The Memory Keeper's Daughter,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,,eng,,,2005.0,,,,,,143037145,3.64,Kim Edwards
"Me Before You (Me Before You, #1)",https://images.gr-assets.com/books/1357108762m/15507958.jpg,,eng,,,2012.0,,,,,,670026603,4.27,Jojo Moyes
Catch-22,https://images.gr-assets.com/books/1463157317m/168668.jpg,,en-US,,,1961.0,,,,,,684833395,3.98,Joseph Heller
Tuesdays with Morrie,https://images.gr-assets.com/books/1423763749m/6900.jpg,,eng,,,1997.0,,,,,,751529818,4.06,"Mitch Albom, Saulius Dagys"
Middlesex,https://images.gr-assets.com/books/1437029776m/2187.jpg,,en-US,,,2002.0,,,,,,312422156,3.98,Jeffrey Eugenides
The Adventures of Tom Sawyer,https://images.gr-assets.com/books/1404811979m/24583.jpg,,eng,,,1876.0,,,,,,143039563,3.89,"Mark Twain, Guy Cardwell, John Seelye"
"A Wrinkle in Time (A Wrinkle in Time Quintet, #1)",https://images.gr-assets.com/books/1329061522m/18131.jpg,,en-US,,,1962.0,,,,,,440498058,4.04,Madeleine L'Engle
The Joy Luck Club,https://images.gr-assets.com/books/1304978653m/7763.jpg,,eng,,,1989.0,,,,,,143038095,3.9,Amy Tan
The Handmaid's Tale,https://images.gr-assets.com/books/1498057733m/38447.jpg,,eng,,,1985.0,,,,,,038549081X,4.06,Margaret Atwood
"The Sisterhood of the Traveling Pants (Sisterhood, #1)",https://images.gr-assets.com/books/1461611233m/452306.jpg,,eng,,,2001.0,,,,,,385729332,3.75,Ann Brashares
"Wicked: The Life and Times of the Wicked Witch of the West (The Wicked Years, #1)",https://images.gr-assets.com/books/1437733293m/37442.jpg,,eng,,,1995.0,,,,,,60987103,3.52,"Gregory Maguire, Douglas Smith"
"The Firm (Penguin Readers, Level 5)",https://images.gr-assets.com/books/1418465200m/5358.jpg,,eng,,,1991.0,,,,,,582418275,3.99,John Grisham
Room,https://images.gr-assets.com/books/1344265419m/7937843.jpg,,eng,,,2010.0,,,,,,316098337,4.03,Emma Donoghue
Hamlet,https://images.gr-assets.com/books/1351051208m/1420.jpg,,eng,,,1600.0,,,,,,521618746,4.0,"William Shakespeare, Richard Andrews, Rex Gibson"
Dune (Dune Chronicles #1),https://images.gr-assets.com/books/1434908555m/234225.jpg,,eng,,,1965.0,,,,,,340839937,4.19,Frank Herbert
The Tipping Point: How Little Things Can Make a Big Difference,https://images.gr-assets.com/books/1473396980m/2612.jpg,,eng,,,2000.0,,,,,,316346624,3.92,Malcolm Gladwell
Steve Jobs,https://images.gr-assets.com/books/1327861368m/11084145.jpg,,eng,,,2011.0,,,,,,1451648537,4.09,Walter Isaacson
One Flew Over the Cuckoo's Nest,https://images.gr-assets.com/books/1485308778m/332613.jpg,,eng,,,1962.0,,,,,,451163966,4.18,Ken Kesey
The Old Man and the Sea,https://images.gr-assets.com/books/1329189714m/2165.jpg,,eng,,,1952.0,,,,,,684830493,3.73,Ernest Hemingway
The Grapes of Wrath,https://images.gr-assets.com/books/1352912927m/4395.jpg,,eng,,,1939.0,,,,,,142000663,3.92,John Steinbeck
The Five People You Meet in Heaven,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,,,,,2003.0,,,,,,1401308589,3.9,Mitch Albom
"Anne of Green Gables (Anne of Green Gables, #1)",https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,,eng,,,1908.0,,,,,,451528824,4.23,L.M. Montgomery
"City of Glass (The Mortal Instruments, #3)",https://images.gr-assets.com/books/1369452339m/3777732.jpg,,en-US,,,2009.0,,,,,,1416914307,4.34,Cassandra Clare
"A Storm of Swords (A Song of Ice and Fire, #3)",https://images.gr-assets.com/books/1497931121m/62291.jpg,,eng,,,2000.0,,,,,,055357342X,4.54,George R.R. Martin
Divine Secrets of the Ya-Ya Sisterhood,https://images.gr-assets.com/books/1408313524m/137791.jpg,,en-US,,,1996.0,,,,,,006075995X,3.79,Rebecca Wells
"Outlander (Outlander, #1)",https://images.gr-assets.com/books/1402600310m/10964.jpg,,eng,,,1991.0,,,,,,440242940,4.2,Diana Gabaldon
The Scarlet Letter,https://images.gr-assets.com/books/1404810944m/12296.jpg,,eng,,,1850.0,,,,,,142437263,3.37,"Nathaniel Hawthorne, Thomas E. Connolly, Nina Baym"
"Miss Peregrine’s Home for Peculiar Children (Miss Peregrine’s Peculiar Children, #1)",https://images.gr-assets.com/books/1472782916m/9460487.jpg,,en-US,,,2011.0,,,,,,1594744769,3.89,Ransom Riggs
"The Girl Who Kicked the Hornet's Nest (Millennium, #3)",https://images.gr-assets.com/books/1327708260m/6892870.jpg,,en-US,,,2007.0,,,,,,030726999X,4.2,"Stieg Larsson, Reg Keeland"
The Martian,https://images.gr-assets.com/books/1413706054m/18007564.jpg,,eng,,,2012.0,,,,,,804139024,4.39,Andy Weir
"The Pillars of the Earth (The Kingsbridge Series, #1)",https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,,eng,,,1989.0,,,,,,451207149,4.29,Ken Follett
All the Light We Cannot See,https://images.gr-assets.com/books/1451445646m/18143977.jpg,,eng,,,2014.0,,,,,,1476746583,4.31,Anthony Doerr
"Unbroken: A World War II Story of Survival, Resilience, and Redemption",https://images.gr-assets.com/books/1327861115m/8664353.jpg,,eng,,,2010.0,,,,,,1400064163,4.4,Laura Hillenbrand
Deception Point,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,,eng,,,2001.0,,,,,,671027387,3.67,Dan Brown
The Goldfinch,https://images.gr-assets.com/books/1451554970m/17333223.jpg,,eng,,,2013.0,,,,,,316055433,3.87,Donna Tartt
Thirteen Reasons Why,https://images.gr-assets.com/books/1333822506m/1217100.jpg,,eng,,,2007.0,,,,,,1595141715,4.02,Jay Asher
Girl with a Pearl Earring,https://images.gr-assets.com/books/1327197580m/2865.jpg,,eng,,,1999.0,,,,,,452287022,3.85,Tracy Chevalier
"If I Stay (If I Stay, #1)",https://images.gr-assets.com/books/1347462970m/4374400.jpg,,en-US,,,2009.0,,,,,,525421033,3.96,Gayle Forman
The Red Tent,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,,en-US,,,1997.0,,,,,,312353766,4.16,Anita Diamant
"The Sea of Monsters (Percy Jackson and the Olympians, #2)",https://images.gr-assets.com/books/1400602661m/28186.jpg,,eng,,,2006.0,,,,,,786856866,4.23,Rick Riordan
Dear John,https://images.gr-assets.com/books/1397749854m/5526.jpg,,en-US,,,2006.0,,,,,,446528056,4.01,Nicholas Sparks
"City of Ashes (The Mortal Instruments, #2)",https://images.gr-assets.com/books/1432730356m/1582996.jpg,,eng,,,2008.0,,,,,,1416914293,4.21,Cassandra Clare
Macbeth,https://images.gr-assets.com/books/1459795224m/8852.jpg,,eng,,,1606.0,,,,,,743477103,3.88,William Shakespeare
"The Two Towers (The Lord of the Rings, #2)",https://images.gr-assets.com/books/1298415523m/15241.jpg,,en-US,,,1954.0,,,,,,618346260,4.42,J.R.R. Tolkien
"Something Borrowed (Darcy & Rachel, #1)",https://images.gr-assets.com/books/1305063535m/42156.jpg,,eng,,,2004.0,,,,,,031232118X,3.83,Emily Giffin
Green Eggs and Ham,https://images.gr-assets.com/books/1468680100m/23772.jpg,,en-US,,,1960.0,,,,,,394800168,4.29,"Dr. Seuss, לאה נאור"
"Charlie and the Chocolate Factory (Charlie Bucket, #1)",https://images.gr-assets.com/books/1309211401m/6310.jpg,,eng,,,1964.0,,,,,,142403881,4.1,"Roald Dahl, Quentin Blake"
"The Battle of the Labyrinth (Percy Jackson and the Olympians, #4)",https://images.gr-assets.com/books/1443142158m/2120932.jpg,,eng,,,2008.0,,,,,,1423101464,4.39,Rick Riordan
Great Expectations,https://images.gr-assets.com/books/1327920219m/2623.jpg,,eng,,,1860.0,,,,,,192833596,3.75,Charles Dickens
"The Return of the King (The Lord of the Rings, #3)",https://images.gr-assets.com/books/1389977161m/18512.jpg,,en-US,,,1955.0,,,,,,345339738,4.51,J.R.R. Tolkien
"The Lost Hero (The Heroes of Olympus, #1)",https://images.gr-assets.com/books/1464201003m/7736182.jpg,,eng,,,2010.0,,,,,,142311339X,4.35,Rick Riordan
Eleanor & Park,https://images.gr-assets.com/books/1341952742m/15745753.jpg,,eng,,,2013.0,,,,,,1250012570,4.11,Rainbow Rowell
"A Feast for Crows (A Song of Ice and Fire, #4)",https://images.gr-assets.com/books/1429538615m/13497.jpg,,en-US,,,2005.0,,,,,,055358202X,4.1,George R.R. Martin
"Matched (Matched, #1)",https://images.gr-assets.com/books/1367706191m/7735333.jpg,,eng,,,2010.0,,,,,,525423648,3.68,Ally Condie
"American Gods (American Gods, #1)",https://images.gr-assets.com/books/1258417001m/4407.jpg,,eng,,,2001.0,,,,,,747263744,4.11,Neil Gaiman
The Stand,https://images.gr-assets.com/books/1213131305m/149267.jpg,,en-US,,,1978.0,,,,,,385199570,4.34,"Stephen King, Bernie Wrightson"
The Last Song,https://images.gr-assets.com/books/1286549186m/6400090.jpg,,en-GB,,,2008.0,,,,,,446547565,4.14,Nicholas Sparks
Digital Fortress,https://images.gr-assets.com/books/1360095966m/11125.jpg,,en-GB,,,1998.0,,,,,,552151696,3.6,Dan Brown
Emma,https://images.gr-assets.com/books/1373627931m/6969.jpg,,eng,,,1815.0,,,,,,141439580,3.99,"Jane Austen, Fiona Stafford"
Anna Karenina,https://images.gr-assets.com/books/1352422904m/15823480.jpg,,eng,,,1877.0,,,,,,345803922,4.02,"Leo Tolstoy, Louise Maude, Leo Tolstoj, Aylmer Maude"
A Clockwork Orange,https://images.gr-assets.com/books/1348339306m/227463.jpg,,eng,,,1962.0,,,,,,393312836,3.98,Anthony Burgess
