title,authors,cover,summary,language,genres,editor,publicationYear,pagesNumber,amazonLink,kindleLink,audibleLink,fnacLink,ISBN,rating
Of Mice and Men,['John Steinbeck'],https://images.gr-assets.com/books/1437235233m/890.jpg,,eng,,,1937,,,,,,142000671,3.84
Memoirs of a Geisha,['Arthur Golden'],https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,,eng,,,1997,,,,,,739326228,4.08
"Fifty Shades of Grey (Fifty Shades, #1)",['E.L. James'],https://images.gr-assets.com/books/1385207843m/10818853.jpg,,eng,,,2011,,,,,,1612130291,3.67
The Alchemist,"['Paulo Coelho', 'Alan R. Clarke']",https://images.gr-assets.com/books/1483412266m/865.jpg,,eng,,,1988,,,,,,61122416,3.82
"The Giver (The Giver, #1)",['Lois Lowry'],https://images.gr-assets.com/books/1342493368m/3636.jpg,,eng,,,1993,,,,,,385732554,4.12
"The Lion, the Witch, and the Wardrobe (Chronicles of Narnia, #1)",['C.S. Lewis'],https://images.gr-assets.com/books/1353029077m/100915.jpg,,eng,,,1950,,,,,,60764899,4.19
The Time Traveler's Wife,['Audrey Niffenegger'],https://images.gr-assets.com/books/1437728815m/14050.jpg,,eng,,,2003,,,,,,965818675,3.95
"A Game of Thrones (A Song of Ice and Fire, #1)",['George R.R. Martin'],https://images.gr-assets.com/books/1436732693m/13496.jpg,,eng,,,1996,,,,,,553588486,4.45
"Eat, Pray, Love",['Elizabeth Gilbert'],https://images.gr-assets.com/books/1503066414m/19501.jpg,,eng,,,2006,,,,,,143038419,3.51
"The Lightning Thief (Percy Jackson and the Olympians, #1)",['Rick Riordan'],https://images.gr-assets.com/books/1400602609m/28187.jpg,,eng,,,2005,,,,,,786838655,4.23
"Little Women (Little Women, #1)",['Louisa May Alcott'],https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,,en-US,,,1868,,,,,,451529308,4.04
Jane Eyre,"['Charlotte Brontë', 'Michael Mason']",https://images.gr-assets.com/books/1327867269m/10210.jpg,,eng,,,1847,,,,,,142437204,4.1
"The Notebook (The Notebook, #1)",['Nicholas Sparks'],https://images.gr-assets.com/books/1385738917m/15931.jpg,,eng,,,1996,,,,,,553816713,4.06
Life of Pi,['Yann Martel'],https://images.gr-assets.com/books/1320562005m/4214.jpg,,,,,2001,,,,,,770430074,3.88
Water for Elephants,['Sara Gruen'],https://images.gr-assets.com/books/1494428973m/43641.jpg,,eng,,,2006,,,,,,1565125606,4.07
The Book Thief,['Markus Zusak'],https://images.gr-assets.com/books/1390053681m/19063.jpg,,eng,,,2005,,,,,,375831002,4.36
Fahrenheit 451,['Ray Bradbury'],https://images.gr-assets.com/books/1351643740m/4381.jpg,,spa,,,1953,,,,,,307347974,3.97
"New Moon (Twilight, #2)",['Stephenie Meyer'],https://images.gr-assets.com/books/1361039440m/49041.jpg,,eng,,,2006,,,,,,316160199,3.52
Where the Sidewalk Ends,['Shel Silverstein'],https://images.gr-assets.com/books/1168052448m/30119.jpg,,eng,,,1974,,,,,,60513039,4.29
"City of Bones (The Mortal Instruments, #1)",['Cassandra Clare'],https://images.gr-assets.com/books/1432730315m/256683.jpg,,eng,,,2007,,,,,,1416914285,4.12
"Eclipse (Twilight, #3)",['Stephenie Meyer'],https://images.gr-assets.com/books/1361038355m/428263.jpg,,en-US,,,2007,,,,,,316160202,3.69
"Eragon (The Inheritance Cycle, #1)",['Christopher Paolini'],https://images.gr-assets.com/books/1366212852m/113436.jpg,,en-US,,,2002,,,,,,375826696,3.86
"The Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy, #1)",['Douglas Adams'],https://images.gr-assets.com/books/1327656754m/11.jpg,,en-US,,,1979,,,,,,345391802,4.2
Brave New World,['Aldous Huxley'],https://images.gr-assets.com/books/1487389574m/5129.jpg,,eng,,,1932,,,,,,60929871,3.97
"Breaking Dawn (Twilight, #4)",['Stephenie Meyer'],https://images.gr-assets.com/books/1361039438m/1162543.jpg,,en-US,,,2008,,,,,,031606792X,3.7
The Secret Life of Bees,['Sue Monk Kidd'],https://images.gr-assets.com/books/1473454532m/37435.jpg,,en-US,,,2001,,,,,,142001740,4.01
The Adventures of Huckleberry Finn,"['Mark Twain', 'John Seelye', 'Guy Cardwell']",https://images.gr-assets.com/books/1405973850m/2956.jpg,,eng,,,1884,,,,,,142437174,3.8
Charlotte's Web,"['E.B. White', 'Garth Williams', 'Rosemary Wells']",https://images.gr-assets.com/books/1439632243m/24178.jpg,,eng,,,1952,,,,,,64410935,4.15
The Curious Incident of the Dog in the Night-Time,['Mark Haddon'],https://images.gr-assets.com/books/1479863624m/1618.jpg,,eng,,,2003,,,,,,1400032717,3.85
The Girl on the Train,['Paula Hawkins'],https://images.gr-assets.com/books/1490903702m/22557272.jpg,,eng,,,2015,,,,,,1594633665,3.88
"The Golden Compass (His Dark Materials, #1)",['Philip Pullman'],https://images.gr-assets.com/books/1451271747m/119322.jpg,,eng,,,1995,,,,,,679879242,3.94
Wuthering Heights,"['Emily Brontë', 'Richard J. Dunn']",https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,,eng,,,1847,,,,,,393978893,3.82
My Sister's Keeper,['Jodi Picoult'],https://images.gr-assets.com/books/1369504683m/10917.jpg,,eng,,,2004,,,,,,743454537,4.06
Slaughterhouse-Five,['Kurt Vonnegut Jr.'],https://images.gr-assets.com/books/1440319389m/4981.jpg,,eng,,,1969,,,,,,385333846,4.06
Gone with the Wind,['Margaret Mitchell'],https://images.gr-assets.com/books/1328025229m/18405.jpg,,eng,,,1936,,,,,,446675539,4.28
A Thousand Splendid Suns,['Khaled Hosseini'],https://images.gr-assets.com/books/1345958969m/128029.jpg,,eng,,,2007,,,,,,1594489505,4.34
The Perks of Being a Wallflower,['Stephen Chbosky'],https://images.gr-assets.com/books/1167352178m/22628.jpg,,eng,,,1999,,,,,,671027344,4.21
"Insurgent (Divergent, #2)",['Veronica Roth'],https://images.gr-assets.com/books/1325667729m/11735983.jpg,,eng,,,2012,,,,,,7442912,4.07
"Ender's Game (Ender's Saga, #1)",['Orson Scott Card'],https://images.gr-assets.com/books/1408303130m/375802.jpg,,eng,,,1985,,,,,,812550706,4.3
Frankenstein,"['Mary Wollstonecraft Shelley', 'Percy Bysshe Shelley', 'Maurice Hindle']",https://images.gr-assets.com/books/1381512375m/18490.jpg,,eng,,,1818,,,,,,141439475,3.75
The Shining (The Shining #1),['Stephen King'],https://images.gr-assets.com/books/1353277730m/11588.jpg,,eng,,,1977,,,,,,450040186,4.17
"The Host (The Host, #1)",['Stephenie Meyer'],https://images.gr-assets.com/books/1318009171m/1656001.jpg,,en-US,,,2008,,,,,,316068047,3.84
Looking for Alaska,['John Green'],https://images.gr-assets.com/books/1394798630m/99561.jpg,,eng,,,2005,,,,,,142402516,4.09
"Bridget Jones's Diary (Bridget Jones, #1)",['Helen Fielding'],https://images.gr-assets.com/books/1292060045m/227443.jpg,,eng,,,1996,,,,,,014028009X,3.75
Sense and Sensibility,"['Jane Austen', 'Tony Tanner', 'Ros Ballaster']",https://images.gr-assets.com/books/1397245675m/14935.jpg,,eng,,,1811,,,,,,141439661,4.06
"Holes (Holes, #1)","['Louis Sachar', 'Louis Sachar']",https://images.gr-assets.com/books/1327781893m/38709.jpg,,eng,,,1998,,,,,,439244196,3.93
"The Devil Wears Prada (The Devil Wears Prada, #1)",['Lauren Weisberger'],https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,,eng,,,2003,,,,,,307275558,3.7
The Odyssey,"['Homer', 'Robert Fagles', 'E.V. Rieu', 'Frédéric Mugler', 'Bernard Knox']",https://images.gr-assets.com/books/1390173285m/1381.jpg,,eng,,,-720,,,,,,143039954,3.73
The Little Prince,"['Antoine de Saint-Exupéry', 'Richard Howard', 'Dom Marcos Barbosa', 'Melina Karakosta']",https://images.gr-assets.com/books/1367545443m/157993.jpg,,eng,,,1946,,,,,,156012197,4.28
The Glass Castle,['Jeannette Walls'],https://images.gr-assets.com/books/1400930557m/7445.jpg,,eng,,,2005,,,,,,074324754X,4.24
Into the Wild,['Jon Krakauer'],https://images.gr-assets.com/books/1403173986m/1845.jpg,,eng,,,1996,,,,,,385486804,3.94
A Tale of Two Cities,"['Charles Dickens', 'Richard Maxwell', 'Hablot Knight Browne']",https://images.gr-assets.com/books/1344922523m/1953.jpg,,eng,,,1859,,,,,,141439602,3.81
"Jurassic Park (Jurassic Park, #1)",['Michael Crichton'],https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,,spa,,,1990,,,,,,030734813X,3.96
The Giving Tree,['Shel Silverstein'],https://images.gr-assets.com/books/1174210942m/370493.jpg,,eng,,,1964,,,,,,60256656,4.38
A Time to Kill,['John Grisham'],https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,,eng,,,1989,,,,,,385338600,4.03
Night (The Night Trilogy #1),"['Elie Wiesel', 'Marion Wiesel']",https://images.gr-assets.com/books/1473495285m/1617.jpg,,eng,,,1958,,,,,,374500010,4.3
Paper Towns,['John Green'],https://images.gr-assets.com/books/1349013610m/6442769.jpg,,en-US,,,2008,,,,,,014241493X,3.88
The Princess Bride ,['William Goldman'],https://images.gr-assets.com/books/1327903636m/21787.jpg,,en-US,,,1973,,,,,,345418263,4.25
The Outsiders,['S.E. Hinton'],https://images.gr-assets.com/books/1442129426m/231804.jpg,,en-US,,,1967,,,,,,014038572X,4.06
"The Maze Runner (Maze Runner, #1)",['James Dashner'],https://images.gr-assets.com/books/1375596592m/6186357.jpg,,eng,,,2009,,,,,,385737947,4.02
"Freakonomics: A Rogue Economist Explores the Hidden Side of Everything (Freakonomics, #1)","['Steven D. Levitt', 'Stephen J. Dubner']",https://images.gr-assets.com/books/1327909092m/1202.jpg,,en-US,,,2005,,,,,,61234001,3.93
The Secret Garden,['Frances Hodgson Burnett'],https://images.gr-assets.com/books/1327873635m/2998.jpg,,eng,,,1911,,,,,,517189607,4.12
One Hundred Years of Solitude,"['Gabriel García Márquez', 'Gregory Rabassa']",https://images.gr-assets.com/books/1327881361m/320.jpg,,eng,,,1967,,,,,,60531045,4.04
The Picture of Dorian Gray,"['Oscar Wilde', 'Jeffrey Eugenides']",https://images.gr-assets.com/books/1424596966m/5297.jpg,,eng,,,1891,,,,,,375751513,4.06
"Fifty Shades Freed (Fifty Shades, #3)",['E.L. James'],https://images.gr-assets.com/books/1336418837m/13536860.jpg,,eng,,,2012,,,,,,345803507,3.88
Dracula,"['Bram Stoker', 'Nina Auerbach', 'David J. Skal']",https://images.gr-assets.com/books/1387151694m/17245.jpg,,eng,,,1897,,,,,,393970124,3.98
"The Girl Who Played with Fire (Millennium, #2)","['Stieg Larsson', 'Reg Keeland']",https://images.gr-assets.com/books/1351778881m/5060378.jpg,,eng,,,2006,,,,,,307269981,4.22
"Fifty Shades Darker (Fifty Shades, #2)",['E.L. James'],https://images.gr-assets.com/books/1358266080m/11857408.jpg,,eng,,,2011,,,,,,1612130585,3.87
The Poisonwood Bible,['Barbara Kingsolver'],https://images.gr-assets.com/books/1412242487m/7244.jpg,,eng,,,1998,,,,,,60786507,4.02
Me Talk Pretty One Day,['David Sedaris'],https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,,eng,,,2000,,,,,,349113912,3.97
Where the Wild Things Are,['Maurice Sendak'],https://images.gr-assets.com/books/1384434560m/19543.jpg,,eng,,,1963,,,,,,99408392,4.22
The Count of Monte Cristo,"['Alexandre Dumas', 'Robin Buss']",https://images.gr-assets.com/books/1309203605m/7126.jpg,,eng,,,1844,,,,,,140449264,4.21
The Road,['Cormac McCarthy'],https://images.gr-assets.com/books/1439197219m/6288.jpg,,eng,,,2006,,,,,,307265439,3.95
"Allegiant (Divergent, #3)",['Veronica Roth'],https://images.gr-assets.com/books/1395582745m/18710190.jpg,,eng,,,2013,,,,,,7524277,3.63
Bossypants,['Tina Fey'],https://images.gr-assets.com/books/1481509554m/9418327.jpg,,eng,,,2011,,,,,,,3.94
A Walk to Remember,['Nicholas Sparks'],https://images.gr-assets.com/books/1385738968m/3473.jpg,,en-US,,,1999,,,,,,446693804,4.15
"Confessions of a Shopaholic (Shopaholic, #1)",['Sophie Kinsella'],https://images.gr-assets.com/books/1327872404m/9416.jpg,,eng,,,2000,,,,,,440241413,3.61
Les Misérables,"['Victor Hugo', 'Lee Fahnestock', 'Norman MacAfee']",https://images.gr-assets.com/books/1411852091m/24280.jpg,,eng,,,1862,,,,,,451525264,4.14
"A Clash of Kings  (A Song of Ice and Fire, #2)",['George R.R. Martin'],https://images.gr-assets.com/books/1358254974m/10572.jpg,,eng,,,1998,,,,,,553381695,4.4
The Memory Keeper's Daughter,['Kim Edwards'],https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,,eng,,,2005,,,,,,143037145,3.64
"Me Before You (Me Before You, #1)",['Jojo Moyes'],https://images.gr-assets.com/books/1357108762m/15507958.jpg,,eng,,,2012,,,,,,670026603,4.27
Catch-22,['Joseph Heller'],https://images.gr-assets.com/books/1463157317m/168668.jpg,,en-US,,,1961,,,,,,684833395,3.98
Tuesdays with Morrie,"['Mitch Albom', 'Saulius Dagys']",https://images.gr-assets.com/books/1423763749m/6900.jpg,,eng,,,1997,,,,,,751529818,4.06
Middlesex,['Jeffrey Eugenides'],https://images.gr-assets.com/books/1437029776m/2187.jpg,,en-US,,,2002,,,,,,312422156,3.98
The Adventures of Tom Sawyer,"['Mark Twain', 'Guy Cardwell', 'John Seelye']",https://images.gr-assets.com/books/1404811979m/24583.jpg,,eng,,,1876,,,,,,143039563,3.89
"A Wrinkle in Time (A Wrinkle in Time Quintet, #1)","[""Madeleine L'Engle""]",https://images.gr-assets.com/books/1329061522m/18131.jpg,,en-US,,,1962,,,,,,440498058,4.04
The Joy Luck Club,['Amy Tan'],https://images.gr-assets.com/books/1304978653m/7763.jpg,,eng,,,1989,,,,,,143038095,3.9
The Handmaid's Tale,['Margaret Atwood'],https://images.gr-assets.com/books/1498057733m/38447.jpg,,eng,,,1985,,,,,,038549081X,4.06
"The Sisterhood of the Traveling Pants (Sisterhood, #1)",['Ann Brashares'],https://images.gr-assets.com/books/1461611233m/452306.jpg,,eng,,,2001,,,,,,385729332,3.75
Lolita,"['Vladimir Nabokov', 'Craig Raine']",https://images.gr-assets.com/books/1377756377m/7604.jpg,,eng,,,1955,,,,,,,3.88
"Wicked: The Life and Times of the Wicked Witch of the West (The Wicked Years, #1)","['Gregory Maguire', 'Douglas Smith']",https://images.gr-assets.com/books/1437733293m/37442.jpg,,eng,,,1995,,,,,,60987103,3.52
"The Firm (Penguin Readers, Level 5)",['John Grisham'],https://images.gr-assets.com/books/1418465200m/5358.jpg,,eng,,,1991,,,,,,582418275,3.99
Room,['Emma Donoghue'],https://images.gr-assets.com/books/1344265419m/7937843.jpg,,eng,,,2010,,,,,,316098337,4.03
Hamlet,"['William Shakespeare', 'Richard Andrews', 'Rex Gibson']",https://images.gr-assets.com/books/1351051208m/1420.jpg,,eng,,,1600,,,,,,521618746,4.0
Dune (Dune Chronicles #1),['Frank Herbert'],https://images.gr-assets.com/books/1434908555m/234225.jpg,,eng,,,1965,,,,,,340839937,4.19
The Tipping Point: How Little Things Can Make a Big Difference,['Malcolm Gladwell'],https://images.gr-assets.com/books/1473396980m/2612.jpg,,eng,,,2000,,,,,,316346624,3.92
Steve Jobs,['Walter Isaacson'],https://images.gr-assets.com/books/1327861368m/11084145.jpg,,eng,,,2011,,,,,,1451648537,4.09
One Flew Over the Cuckoo's Nest,['Ken Kesey'],https://images.gr-assets.com/books/1485308778m/332613.jpg,,eng,,,1962,,,,,,451163966,4.18
The Old Man and the Sea,['Ernest Hemingway'],https://images.gr-assets.com/books/1329189714m/2165.jpg,,eng,,,1952,,,,,,684830493,3.73
The Grapes of Wrath,['John Steinbeck'],https://images.gr-assets.com/books/1352912927m/4395.jpg,,eng,,,1939,,,,,,142000663,3.92
The Five People You Meet in Heaven,['Mitch Albom'],https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,,,,,2003,,,,,,1401308589,3.9
"Anne of Green Gables (Anne of Green Gables, #1)",['L.M. Montgomery'],https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,,eng,,,1908,,,,,,451528824,4.23
"City of Glass (The Mortal Instruments, #3)",['Cassandra Clare'],https://images.gr-assets.com/books/1369452339m/3777732.jpg,,en-US,,,2009,,,,,,1416914307,4.34
"A Storm of Swords (A Song of Ice and Fire, #3)",['George R.R. Martin'],https://images.gr-assets.com/books/1497931121m/62291.jpg,,eng,,,2000,,,,,,055357342X,4.54
Divine Secrets of the Ya-Ya Sisterhood,['Rebecca Wells'],https://images.gr-assets.com/books/1408313524m/137791.jpg,,en-US,,,1996,,,,,,006075995X,3.79
"Outlander (Outlander, #1)",['Diana Gabaldon'],https://images.gr-assets.com/books/1402600310m/10964.jpg,,eng,,,1991,,,,,,440242940,4.2
The Scarlet Letter,"['Nathaniel Hawthorne', 'Thomas E. Connolly', 'Nina Baym']",https://images.gr-assets.com/books/1404810944m/12296.jpg,,eng,,,1850,,,,,,142437263,3.37
"Miss Peregrine’s Home for Peculiar Children (Miss Peregrine’s Peculiar Children, #1)",['Ransom Riggs'],https://images.gr-assets.com/books/1472782916m/9460487.jpg,,en-US,,,2011,,,,,,1594744769,3.89
"The Girl Who Kicked the Hornet's Nest (Millennium, #3)","['Stieg Larsson', 'Reg Keeland']",https://images.gr-assets.com/books/1327708260m/6892870.jpg,,en-US,,,2007,,,,,,030726999X,4.2
The Martian,['Andy Weir'],https://images.gr-assets.com/books/1413706054m/18007564.jpg,,eng,,,2012,,,,,,804139024,4.39
"The Pillars of the Earth (The Kingsbridge Series, #1)",['Ken Follett'],https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,,eng,,,1989,,,,,,451207149,4.29
All the Light We Cannot See,['Anthony Doerr'],https://images.gr-assets.com/books/1451445646m/18143977.jpg,,eng,,,2014,,,,,,1476746583,4.31
"Unbroken: A World War II Story of Survival, Resilience, and Redemption",['Laura Hillenbrand'],https://images.gr-assets.com/books/1327861115m/8664353.jpg,,eng,,,2010,,,,,,1400064163,4.4
Deception Point,['Dan Brown'],https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,,eng,,,2001,,,,,,671027387,3.67
The Goldfinch,['Donna Tartt'],https://images.gr-assets.com/books/1451554970m/17333223.jpg,,eng,,,2013,,,,,,316055433,3.87
Thirteen Reasons Why,['Jay Asher'],https://images.gr-assets.com/books/1333822506m/1217100.jpg,,eng,,,2007,,,,,,1595141715,4.02
Girl with a Pearl Earring,['Tracy Chevalier'],https://images.gr-assets.com/books/1327197580m/2865.jpg,,eng,,,1999,,,,,,452287022,3.85
"If I Stay (If I Stay, #1)",['Gayle Forman'],https://images.gr-assets.com/books/1347462970m/4374400.jpg,,en-US,,,2009,,,,,,525421033,3.96
The Red Tent,['Anita Diamant'],https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,,en-US,,,1997,,,,,,312353766,4.16
"The Sea of Monsters (Percy Jackson and the Olympians, #2)",['Rick Riordan'],https://images.gr-assets.com/books/1400602661m/28186.jpg,,eng,,,2006,,,,,,786856866,4.23
Dear John,['Nicholas Sparks'],https://images.gr-assets.com/books/1397749854m/5526.jpg,,en-US,,,2006,,,,,,446528056,4.01
"City of Ashes (The Mortal Instruments, #2)",['Cassandra Clare'],https://images.gr-assets.com/books/1432730356m/1582996.jpg,,eng,,,2008,,,,,,1416914293,4.21
Macbeth,['William Shakespeare'],https://images.gr-assets.com/books/1459795224m/8852.jpg,,eng,,,1606,,,,,,743477103,3.88
"The Two Towers (The Lord of the Rings, #2)",['J.R.R. Tolkien'],https://images.gr-assets.com/books/1298415523m/15241.jpg,,en-US,,,1954,,,,,,618346260,4.42
"Something Borrowed (Darcy & Rachel, #1)",['Emily Giffin'],https://images.gr-assets.com/books/1305063535m/42156.jpg,,eng,,,2004,,,,,,031232118X,3.83
Green Eggs and Ham,"['Dr. Seuss', 'לאה נאור']",https://images.gr-assets.com/books/1468680100m/23772.jpg,,en-US,,,1960,,,,,,394800168,4.29
"Charlie and the Chocolate Factory (Charlie Bucket, #1)","['Roald Dahl', 'Quentin Blake']",https://images.gr-assets.com/books/1309211401m/6310.jpg,,eng,,,1964,,,,,,142403881,4.1
"The Battle of the Labyrinth (Percy Jackson and the Olympians, #4)",['Rick Riordan'],https://images.gr-assets.com/books/1443142158m/2120932.jpg,,eng,,,2008,,,,,,1423101464,4.39
Great Expectations,['Charles Dickens'],https://images.gr-assets.com/books/1327920219m/2623.jpg,,eng,,,1860,,,,,,192833596,3.75
"The Return of the King (The Lord of the Rings, #3)",['J.R.R. Tolkien'],https://images.gr-assets.com/books/1389977161m/18512.jpg,,en-US,,,1955,,,,,,345339738,4.51
The Stranger,"['Albert Camus', 'Matthew    Ward']",https://images.gr-assets.com/books/1349927872m/49552.jpg,,eng,,,1942,,,,,,,3.96
"The Lost Hero (The Heroes of Olympus, #1)",['Rick Riordan'],https://images.gr-assets.com/books/1464201003m/7736182.jpg,,eng,,,2010,,,,,,142311339X,4.35
Eleanor & Park,['Rainbow Rowell'],https://images.gr-assets.com/books/1341952742m/15745753.jpg,,eng,,,2013,,,,,,1250012570,4.11
"A Feast for Crows (A Song of Ice and Fire, #4)",['George R.R. Martin'],https://images.gr-assets.com/books/1429538615m/13497.jpg,,en-US,,,2005,,,,,,055358202X,4.1
"Matched (Matched, #1)",['Ally Condie'],https://images.gr-assets.com/books/1367706191m/7735333.jpg,,eng,,,2010,,,,,,525423648,3.68
"American Gods (American Gods, #1)",['Neil Gaiman'],https://images.gr-assets.com/books/1258417001m/4407.jpg,,eng,,,2001,,,,,,747263744,4.11
The Stand,"['Stephen King', 'Bernie Wrightson']",https://images.gr-assets.com/books/1213131305m/149267.jpg,,en-US,,,1978,,,,,,385199570,4.34
The Last Song,['Nicholas Sparks'],https://images.gr-assets.com/books/1286549186m/6400090.jpg,,en-GB,,,2008,,,,,,446547565,4.14
Digital Fortress,['Dan Brown'],https://images.gr-assets.com/books/1360095966m/11125.jpg,,en-GB,,,1998,,,,,,552151696,3.6
